starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 19 23:47:28 2015	1429501648	101	70	171	70
Sun Apr 19 23:47:29 2015	1429501649	112	62	174	62
Sun Apr 19 23:47:28 2015	1429501648	114	66	180	66
Sun Apr 19 23:47:28 2015	1429501648	108	76	183	76
Sun Apr 19 23:47:28 2015	1429501648	115	68	183	68
Sun Apr 19 23:47:29 2015	1429501649	120	74	194	74
Sun Apr 19 23:47:28 2015	1429501648	123	72	195	72
Sun Apr 19 23:47:29 2015	1429501649	128	71	199	64
Sun Apr 19 23:47:29 2015	1429501649	126	74	200	74
Sun Apr 19 23:47:29 2015	1429501649	131	77	208	77
