starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 09 07:14:25 2015	1428578065	72	251	324	249
Thu Apr 09 07:14:21 2015	1428578061	60	276	336	273
Thu Apr 09 07:14:23 2015	1428578063	72	292	363	290
Thu Apr 09 07:14:17 2015	1428578057	81	285	366	284
Thu Apr 09 07:14:16 2015	1428578056	70	318	388	315
Thu Apr 09 07:14:17 2015	1428578057	64	330	394	326
Thu Apr 09 07:14:22 2015	1428578062	78	322	400	318
Thu Apr 09 07:14:14 2015	1428578054	92	318	409	317
Thu Apr 09 07:14:19 2015	1428578059	74	346	419	342
Thu Apr 09 07:14:13 2015	1428578053	78	346	425	343
Thu Apr 09 07:14:18 2015	1428578058	80	345	425	343
Thu Apr 09 07:14:15 2015	1428578055	66	365	431	362
Thu Apr 09 07:14:24 2015	1428578064	71	363	434	361
Thu Apr 09 07:14:21 2015	1428578061	71	377	448	375
Thu Apr 09 07:14:22 2015	1428578062	73	386	459	384
Thu Apr 09 07:14:13 2015	1428578053	68	392	460	390
Thu Apr 09 07:14:24 2015	1428578064	69	398	467	394
Thu Apr 09 07:14:15 2015	1428578055	81	388	469	387
Thu Apr 09 07:14:17 2015	1428578057	74	400	474	395
Thu Apr 09 07:14:20 2015	1428578060	70	409	479	406
Thu Apr 09 07:14:20 2015	1428578060	74	407	481	405
Thu Apr 09 07:14:16 2015	1428578056	72	417	488	416
Thu Apr 09 07:14:19 2015	1428578059	76	433	509	429
Thu Apr 09 07:14:25 2015	1428578065	63	447	510	442
Thu Apr 09 07:14:26 2015	1428578066	72	440	513	415
Thu Apr 09 07:14:18 2015	1428578058	66	468	534	467
Thu Apr 09 07:14:12 2015	1428578052	62	492	554	487
Thu Apr 09 07:14:14 2015	1428578054	81	484	564	481
Thu Apr 09 07:14:23 2015	1428578063	74	518	592	504
Thu Apr 09 07:14:21 2015	1428578061	71	538	608	537
