starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 03:21:41 2015	1429514501	96	263	359	129
Mon Apr 20 03:21:40 2015	1429514500	102	258	359	121
Mon Apr 20 03:21:42 2015	1429514502	96	265	361	137
Mon Apr 20 03:21:41 2015	1429514501	108	260	367	129
Mon Apr 20 03:21:40 2015	1429514500	98	345	443	128
Mon Apr 20 03:21:43 2015	1429514503	94	490	585	169
Mon Apr 20 03:21:43 2015	1429514503	105	504	608	133
Mon Apr 20 03:21:42 2015	1429514502	107	555	662	131
Mon Apr 20 03:21:38 2015	1429514498	109	883	992	138
Mon Apr 20 03:21:39 2015	1429514499	203	842	1044	158
