starttime	seconds	ctime	dtime	ttime	wait
Fri Apr 10 02:21:41 2015	1428646901	62	21	83	17
Fri Apr 10 02:21:42 2015	1428646902	70	24	94	17
Fri Apr 10 02:21:42 2015	1428646902	74	20	95	17
Fri Apr 10 02:21:42 2015	1428646902	74	26	99	22
Fri Apr 10 02:21:42 2015	1428646902	88	23	112	17
Fri Apr 10 02:21:41 2015	1428646901	87	32	119	26
Fri Apr 10 02:21:42 2015	1428646902	92	28	119	25
Fri Apr 10 02:21:42 2015	1428646902	98	24	123	23
Fri Apr 10 02:21:42 2015	1428646902	95	29	125	25
Fri Apr 10 02:21:42 2015	1428646902	117	34	151	30
