starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 00:53:42 2015	1429505622	54	26	80	21
Mon Apr 20 00:53:42 2015	1429505622	59	22	81	22
Mon Apr 20 00:53:43 2015	1429505623	61	20	81	18
Mon Apr 20 00:53:42 2015	1429505622	65	20	86	19
Mon Apr 20 00:53:42 2015	1429505622	57	38	95	33
Mon Apr 20 00:53:42 2015	1429505622	70	28	98	25
Mon Apr 20 00:53:42 2015	1429505622	67	33	100	27
Mon Apr 20 00:53:42 2015	1429505622	74	28	101	26
Mon Apr 20 00:53:43 2015	1429505623	72	31	103	28
Mon Apr 20 00:53:42 2015	1429505622	90	31	122	31
