starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 05:50:14 2015	1429523414	62	76	139	53
Mon Apr 20 05:50:15 2015	1429523415	60	82	141	56
Mon Apr 20 05:50:15 2015	1429523415	63	81	144	56
Mon Apr 20 05:50:14 2015	1429523414	63	83	146	62
Mon Apr 20 05:50:15 2015	1429523415	64	83	147	60
Mon Apr 20 05:50:15 2015	1429523415	60	88	148	61
Mon Apr 20 05:50:15 2015	1429523415	62	87	148	62
Mon Apr 20 05:50:14 2015	1429523414	63	85	149	58
Mon Apr 20 05:50:14 2015	1429523414	66	90	155	62
Mon Apr 20 05:50:14 2015	1429523414	96	82	178	60
