starttime	seconds	ctime	dtime	ttime	wait
Fri Apr 10 01:14:19 2015	1428642859	62	243	305	241
Fri Apr 10 01:14:17 2015	1428642857	63	262	325	261
Fri Apr 10 01:14:19 2015	1428642859	63	262	325	260
Fri Apr 10 01:14:19 2015	1428642859	69	261	330	254
Fri Apr 10 01:14:14 2015	1428642854	80	284	364	281
Fri Apr 10 01:14:16 2015	1428642856	65	303	368	281
Fri Apr 10 01:14:15 2015	1428642855	65	305	370	301
Fri Apr 10 01:14:17 2015	1428642857	90	295	385	293
Fri Apr 10 01:14:14 2015	1428642854	85	310	395	308
Fri Apr 10 01:14:20 2015	1428642860	69	341	410	339
Fri Apr 10 01:14:13 2015	1428642853	74	360	434	358
Fri Apr 10 01:14:18 2015	1428642858	66	375	441	371
Fri Apr 10 01:14:12 2015	1428642852	67	397	464	391
Fri Apr 10 01:14:18 2015	1428642858	63	436	499	435
Fri Apr 10 01:14:15 2015	1428642855	64	450	515	449
Fri Apr 10 01:14:13 2015	1428642853	67	483	550	482
Fri Apr 10 01:14:11 2015	1428642851	71	504	575	498
Fri Apr 10 01:14:16 2015	1428642856	74	506	580	504
Fri Apr 10 01:14:12 2015	1428642852	72	513	585	509
Fri Apr 10 01:14:16 2015	1428642856	67	555	622	554
