starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 02:17:48 2015	1429510668	59	62	121	56
Mon Apr 20 02:17:47 2015	1429510667	59	83	142	60
Mon Apr 20 02:17:47 2015	1429510667	60	85	145	60
Mon Apr 20 02:17:47 2015	1429510667	62	83	145	62
Mon Apr 20 02:17:46 2015	1429510666	59	87	146	62
Mon Apr 20 02:17:48 2015	1429510668	67	83	150	60
Mon Apr 20 02:17:47 2015	1429510667	66	85	151	59
Mon Apr 20 02:17:47 2015	1429510667	69	88	157	61
Mon Apr 20 02:17:47 2015	1429510667	61	98	159	72
Mon Apr 20 02:17:47 2015	1429510667	72	88	160	60
