starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 04:00:17 2015	1429516817	769	254	1023	250
Mon Apr 20 04:00:08 2015	1429516808	772	256	1028	256
Mon Apr 20 04:00:12 2015	1429516812	777	254	1032	254
Mon Apr 20 04:00:16 2015	1429516816	778	255	1033	252
Mon Apr 20 04:00:09 2015	1429516809	780	272	1052	251
Mon Apr 20 04:00:10 2015	1429516810	810	267	1077	262
Mon Apr 20 04:00:18 2015	1429516818	814	265	1078	264
Mon Apr 20 04:00:13 2015	1429516813	812	267	1079	263
Mon Apr 20 04:00:14 2015	1429516814	816	269	1085	264
Mon Apr 20 04:00:11 2015	1429516811	822	265	1087	263
