starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 05:58:32 2015	1429523912	58	83	141	58
Mon Apr 20 05:58:33 2015	1429523913	63	81	144	59
Mon Apr 20 05:58:31 2015	1429523911	64	83	146	59
Mon Apr 20 05:58:32 2015	1429523912	60	88	148	63
Mon Apr 20 05:58:32 2015	1429523912	59	89	149	64
Mon Apr 20 05:58:32 2015	1429523912	64	86	150	61
Mon Apr 20 05:58:31 2015	1429523911	68	82	151	58
Mon Apr 20 05:58:32 2015	1429523912	69	83	152	59
Mon Apr 20 05:58:32 2015	1429523912	68	89	157	61
Mon Apr 20 05:58:33 2015	1429523913	64	93	157	58
