starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 04:14:53 2015	1429517693	76	22	98	21
Mon Apr 20 04:14:54 2015	1429517694	81	22	103	21
Mon Apr 20 04:14:53 2015	1429517693	90	21	111	20
Mon Apr 20 04:14:54 2015	1429517694	92	22	114	21
Mon Apr 20 04:14:55 2015	1429517695	110	22	132	21
Mon Apr 20 04:14:55 2015	1429517695	89	60	149	59
Mon Apr 20 04:14:54 2015	1429517694	278	85	364	85
Mon Apr 20 04:14:54 2015	1429517694	284	85	369	85
Mon Apr 20 04:14:53 2015	1429517693	280	93	373	92
Mon Apr 20 04:14:53 2015	1429517693	297	86	383	85
