starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 09 07:24:35 2015	1428578675	69	266	335	263
Thu Apr 09 07:24:31 2015	1428578671	71	265	336	265
Thu Apr 09 07:24:33 2015	1428578673	67	278	344	273
Thu Apr 09 07:24:33 2015	1428578673	60	298	358	296
Thu Apr 09 07:24:24 2015	1428578664	76	296	372	296
Thu Apr 09 07:24:32 2015	1428578672	74	305	379	303
Thu Apr 09 07:24:29 2015	1428578669	68	322	390	317
Thu Apr 09 07:24:28 2015	1428578668	66	338	404	337
Thu Apr 09 07:24:24 2015	1428578664	73	332	405	329
Thu Apr 09 07:24:30 2015	1428578670	65	344	409	341
Thu Apr 09 07:24:35 2015	1428578675	72	344	415	340
Thu Apr 09 07:24:36 2015	1428578676	71	353	423	339
Thu Apr 09 07:24:27 2015	1428578667	76	362	438	359
Thu Apr 09 07:24:37 2015	1428578677	75	364	439	362
Thu Apr 09 07:24:33 2015	1428578673	62	383	445	378
Thu Apr 09 07:24:31 2015	1428578671	68	419	487	419
Thu Apr 09 07:24:25 2015	1428578665	117	385	502	385
Thu Apr 09 07:24:26 2015	1428578666	65	454	519	449
Thu Apr 09 07:24:25 2015	1428578665	79	441	520	437
Thu Apr 09 07:24:29 2015	1428578669	93	456	549	452
Thu Apr 09 07:24:34 2015	1428578674	69	485	554	481
Thu Apr 09 07:24:36 2015	1428578676	62	514	576	512
Thu Apr 09 07:24:37 2015	1428578677	78	501	579	497
Thu Apr 09 07:24:32 2015	1428578672	71	513	584	510
Thu Apr 09 07:24:26 2015	1428578666	63	532	595	528
Thu Apr 09 07:24:38 2015	1428578678	74	525	599	521
Thu Apr 09 07:24:30 2015	1428578670	68	532	600	528
Thu Apr 09 07:24:28 2015	1428578668	99	507	605	504
Thu Apr 09 07:24:34 2015	1428578674	71	538	609	530
Thu Apr 09 07:24:27 2015	1428578667	76	548	624	545
